Quarter,Market_Vendor,Market_Share
2025Q1,Lenovo,1.06
2025Q2,Lenovo,1.53
2025Q3,Lenovo,1.61
2025Q4,Lenovo,1.55
2026Q1,Lenovo,1.52
2026Q2,Lenovo,1.57
2013Q1,Microsoft,0.21
2013Q2,Microsoft,0.28
2013Q3,Microsoft,0.42
2013Q4,Microsoft,0.45
2014Q1,Microsoft,0.3
2014Q2,Microsoft,0.2
2014Q3,Microsoft,0.12
2014Q4,Microsoft,0.33
2015Q1,Microsoft,1.13
2015Q2,Microsoft,0.94
2015Q3,Microsoft,0.79
2015Q4,Microsoft,0.79
2016Q1,Microsoft,0.69
2016Q2,Microsoft,0.61
2016Q3,Microsoft,0.53
2016Q4,Microsoft,0.46
2017Q1,Microsoft,0.38
2017Q2,Microsoft,0.34
2017Q3,Microsoft,0.32
2017Q4,Microsoft,0.28
2018Q1,Microsoft,0.25
2018Q2,Microsoft,0.23
2018Q3,Microsoft,0.2
2018Q4,Microsoft,0.19
2019Q1,Microsoft,0.18
2019Q2,Microsoft,0.15
2019Q3,Microsoft,0.13
2019Q4,Microsoft,0.14
2020Q1,Microsoft,0.15
2020Q2,Microsoft,0.11
2020Q3,Microsoft,0.09
2020Q4,Microsoft,0.08
2021Q1,Microsoft,0.08
2021Q2,Microsoft,0.05
2021Q3,Microsoft,0.05
2021Q4,Microsoft,0.05
2022Q1,Microsoft,0.03
2022Q2,Microsoft,0.03
2022Q3,Microsoft,0.03
2022Q4,Microsoft,0.03
2023Q1,Microsoft,0.02
2023Q2,Microsoft,0.02
2023Q3,Microsoft,0.02
2023Q4,Microsoft,0.01
2024Q1,Microsoft,0.01
2024Q2,Microsoft,0.02
2024Q3,Microsoft,0.01
2024Q4,Microsoft,0.0
2025Q1,Microsoft,0.0
2025Q2,Microsoft,0.01
2025Q3,Microsoft,0.0
2025Q4,Microsoft,0.01
2026Q1,Microsoft,0.0
2026Q2,Microsoft,0.0
2013Q1,General Mobile,0.0
2013Q2,General Mobile,0.0
2013Q3,General Mobile,0.0
2013Q4,General Mobile,0.0
2014Q1,General Mobile,0.06
2014Q2,General Mobile,0.3
2014Q3,General Mobile,0.2
2014Q4,General Mobile,0.22
2015Q1,General Mobile,0.26
2015Q2,General Mobile,0.34
2015Q3,General Mobile,0.32
2015Q4,General Mobile,0.33
2016Q1,General Mobile,0.68
2016Q2,General Mobile,1.12
2016Q3,General Mobile,0.97
2016Q4,General Mobile,0.78
2017Q1,General Mobile,0.59
2017Q2,General Mobile,0.75
2017Q3,General Mobile,0.55
2017Q4,General Mobile,0.48
2018Q1,General Mobile,0.42
2018Q2,General Mobile,0.29
2018Q3,General Mobile,0.22
2018Q4,General Mobile,0.22
2019Q1,General Mobile,0.19
2019Q2,General Mobile,0.19
2019Q3,General Mobile,0.15
2019Q4,General Mobile,0.19
2020Q1,General Mobile,0.25
2020Q2,General Mobile,0.26
2020Q3,General Mobile,0.18
2020Q4,General Mobile,0.13
2021Q1,General Mobile,0.12
2021Q2,General Mobile,0.11
2021Q3,General Mobile,0.09
2021Q4,General Mobile,0.08
2022Q1,General Mobile,0.18
2022Q2,General Mobile,0.18
2022Q3,General Mobile,0.19
2022Q4,General Mobile,0.16
2023Q1,General Mobile,0.11
2023Q2,General Mobile,0.11
2023Q3,General Mobile,0.09
2023Q4,General Mobile,0.1
2024Q1,General Mobile,0.15
2024Q2,General Mobile,0.07
2024Q3,General Mobile,0.07
2024Q4,General Mobile,0.09
2025Q1,General Mobile,0.08
2025Q2,General Mobile,0.1
2025Q3,General Mobile,0.06
2025Q4,General Mobile,0.04
2026Q1,General Mobile,0.02
2026Q2,General Mobile,0.01
2013Q1,Sony,0.26
2013Q2,Sony,0.22
2013Q3,Sony,0.19
2013Q4,Sony,0.16
2014Q1,Sony,0.21
2014Q2,Sony,0.34
2014Q3,Sony,0.37
2014Q4,Sony,0.38
2015Q1,Sony,0.39
2015Q2,Sony,0.39
2015Q3,Sony,0.35
2015Q4,Sony,0.43
2016Q1,Sony,0.43
2016Q2,Sony,0.4
2016Q3,Sony,0.31
2016Q4,Sony,0.3
2017Q1,Sony,0.35
2017Q2,Sony,0.37
2017Q3,Sony,0.38
2017Q4,Sony,0.37
2018Q1,Sony,0.35
2018Q2,Sony,0.36
2018Q3,Sony,0.34
2018Q4,Sony,0.18
2019Q1,Sony,0.16
2019Q2,Sony,0.27
2019Q3,Sony,0.24
2019Q4,Sony,0.29
2020Q1,Sony,0.3
2020Q2,Sony,0.31
2020Q3,Sony,0.29
2020Q4,Sony,0.28
2021Q1,Sony,0.26
2021Q2,Sony,0.24
2021Q3,Sony,0.22
2021Q4,Sony,0.2
2022Q1,Sony,0.18
2022Q2,Sony,0.18
2022Q3,Sony,0.14
2022Q4,Sony,0.12
2023Q1,Sony,0.11
2023Q2,Sony,0.12
2023Q3,Sony,0.12
2023Q4,Sony,0.12
2024Q1,Sony,0.1
2024Q2,Sony,0.1
2024Q3,Sony,0.1
2024Q4,Sony,0.08
2025Q1,Sony,0.06
2025Q2,Sony,0.05
2025Q3,Sony,0.04
2025Q4,Sony,0.04
2026Q1,Sony,0.03
2026Q2,Sony,0.03
2013Q1,Barnes & Noble,0.47
2013Q2,Barnes & Noble,0.37
2013Q3,Barnes & Noble,0.3
2013Q4,Barnes & Noble,0.22
2014Q1,Barnes & Noble,0.46
2014Q2,Barnes & Noble,0.53
2014Q3,Barnes & Noble,0.46
2014Q4,Barnes & Noble,0.37
2015Q1,Barnes & Noble,0.32
2015Q2,Barnes & Noble,0.27
2015Q3,Barnes & Noble,0.23
2015Q4,Barnes & Noble,0.19
2016Q1,Barnes & Noble,0.16
2016Q2,Barnes & Noble,0.14
2016Q3,Barnes & Noble,0.12
2016Q4,Barnes & Noble,0.09
2017Q1,Barnes & Noble,0.07
2017Q2,Barnes & Noble,0.08
2017Q3,Barnes & Noble,0.07
2017Q4,Barnes & Noble,0.05
2018Q1,Barnes & Noble,0.04
2018Q2,Barnes & Noble,0.04
2018Q3,Barnes & Noble,0.04
2018Q4,Barnes & Noble,0.03
2019Q1,Barnes & Noble,0.02
2019Q2,Barnes & Noble,0.02
2019Q3,Barnes & Noble,0.02
2019Q4,Barnes & Noble,0.02
2020Q1,Barnes & Noble,0.02
2020Q2,Barnes & Noble,0.01
2020Q3,Barnes & Noble,0.01
2020Q4,Barnes & Noble,0.01
2021Q1,Barnes & Noble,0.01
2021Q2,Barnes & Noble,0.01
2021Q3,Barnes & Noble,0.01
2021Q4,Barnes & Noble,0.01
2022Q1,Barnes & Noble,0.01
2022Q2,Barnes & Noble,0.01
2022Q3,Barnes & Noble,0.01
2022Q4,Barnes & Noble,0.02
